Spell name|School of magic|class|level|casting time|range|components|duration|notes/flavor text|higher levels|source
Friends|Enchantment|Bard, Sorcerer, Warlock, Wizard|Cantrip|1 action|Self|S, M (a small amount of makeup applied to the face as this spell is cast|Concentration up to 1 minute|For the duration, you have advantage on all Charisma checks directed at one creature of your choice that isn't hostile toward you. When the spell ends, the creature realizes that you used magic to influence its mood and becomes hostile toward you. A creature prone to violence might attack you. Another creature might seek retribution in other ways (at the DM's discretion), depending on the nature of your interaction with it.|N/A|Player's Handbook
Vicious Mockery|Enchantment|Bard|Cantrip|1 action|60 feet|V|Instantaneous|You unleash a string of insults laced with subtle enchantments at a creature you can see within range. If the target can hear you (though it need not understand you), it must succeed on a Wisdom saving throw or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn.|This spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4).|Player's Handbook
Booming Blade|Evocation|Sorcerer, Warlock, Wizard|Cantrip|1 action|5 feet|V, M (a weapon)|1 round|As part of the action used to cast this spell, you must make a melee attack with a weapon against one creature within the spell's range, otherwise the spell fails. On a hit, the target suffers the attack's normal effects, and it becomes sheathed in booming energy until the start of your next turn. if the target willingly moves before then, it immediately takes 1d8 thunder damage, and the spell ends.|The spell's damage increases when you reach higher levels. At 5th level, the melee attack deals an extra 1d8 thunder damage to the target, and the damage the target takes for moning increases to 2d8. Both damage rolls increase by 1d8 at 11th level and 17th level.|Sword Coast Adventurer's Guide
Dancing Lights|Evocation|Bard, Sorcerer, Wizard|Cantrip|1 action|120 feet|V, S, M (a it of phosphorus or wychwood, or a glowworm)|Concentration, up to 1 hour|You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius. ~ As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell's range.|N/A|Player's Handbook
Eldritch Blast|Evocation|Warlock|Cantrip|1 action|120 feet|V, S|Instantaneous|A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.|The spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam.|Player's Handbook
Fire Bolt|Evocation|Sorcerer, Wizard|Cantrip|1 action|120 feet|V, S|Instantaneous|You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried.|This spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).|Player's Handbook
Frostbite|Evocation|Druid, Sorcerer, Warlock, Wizard|Cantrip|1 action|60 feet|V, S|Instantaneous|You cause numbing frost to form on one creature that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn.|The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).|Elemental Evil
Green-Flame Blade|Evocation|Sorcerer, Warlock, Wizard|Cantrip|1 action|5 feet|V, M (a weapon)|Instantaneous|As part of the action used to cast this spell, you must make a melee attack with a weapon against one creature within the spell's range, otherwise the spell fails. On a hit, the target suffers the attack's normal effects, and green fire leaps from the target to a different creature of your choice that you can see within 5 feet of it. The second creature takes fire damage equal to your spellcasting ability modifier.|This spell's damage increases when you reach higher levels. At 5th level, the melee attack deals an extra 1d8 fire damage to the target, and the fire damage to the second creature increases to 1d8 + your spellcasting ability modifier. Both damage rolls increase by 1d8 at 11th level and 17th level.|Sword Coast Adventurer's Guide
Light|Evocation|Bard, Cleric, Sorcerer, Wizard|Cantrip|1 action|Touch|V, M (a firefly or posphorescent moss)|1 hour|You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action. ~ If you target an object held or worn by a hostile creature, that creature must succeed on a Dexterity saving throw to avoid the spell.|N/A|Player's Handbook
Lightning Lure|Evocation|Sorcerer, Warlock, Wizard|Cantrip|1 action|15 feet|V|Instantaneous|You create a lash of lightning energy that strikes at one creature of your choice that you can see within range. The target must succeed on a Strength saving throw or be pulled up to 10 feet in a straight line toward you and then take 1d8 lightning damage if it is within 5 feet of you.|This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).|Sword Coast Adventurer's Guide
Ray of Frost|Evocation|Sorcerer, Wizard|Cantrip|1 action|60 feet|V, S|Instantaneous|A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn.|The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).|Player's Handbook
Sacred Flame|Evocation|Cleric|Cantrip|1 action|60 feet|V, S|Instantaneous|Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw.|The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).|Player's Handbook
Shocking Grasp|Evocation|Sorcerer, Wizard|Cantrip|1 action|Touch|V, S|Instantaneous|Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can't take reactions until the start of its next turn.|The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).|Player's Handbook
Thunderclap|Evocation|Bard, Druid, Sorcerer, Warlock, Wizard|Cantrip|1 action|Self (5 foot radius)|S|Instantaneous|You create a burst of thunderous sound, which can be heard 100 feet away. Each creature other than you within 5 feet of you must make a Constitution saving throw. On a failed save, the creature takes 1d6 thunder damage.|The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).|Elemental Evil
Minor Illusion|Illusion|Bard, Sorcerer, Warlock, Wizard|Cantrip|1 action|30 feet|S, M (a bit of fleece)|1 minute|You create a sound or an image of an object within range that lasts for the duration. The illusion also ends if you dismiss it as an action or cast this spell again. ~ If you create a sound, its volume can range from a whisper to a scream. It can be your voice, someone else's voice, a lion's roar, a beating of drums, or any other sound you choose. The sound continues unabated throughout the duration, or you can make discrete sounds at different times before the spell ends. ~ If you create an image of an object - such as a chair, muddy footprints, or a small chest—it must be no larger than a 5-foot cube. The image can't create sound, light, smell, or any other sensory effect. Physical interaction with the image reveals it to be an illusion, because things can pass through it. ~ If a creature uses its action to examine the sound or image, the creature can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the illusion becomes faint to the creature.|N/A|Player's Handbook
Chill Touch|Necromancy|Sorcerer, Warlock, Wizard|Cantrip|1 action|120 feet|V, S|1 round|You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target. ~ If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn.|This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).|Player's Handbook
Spare the Dying|Necromancy|Cleric|Cantrip|1 action|Touch|V, S|Instantaneous|You touch a living creature that has 0 hit points. The creature becomes stable. This spell has no effect on undead or constructs.|N/A|Player's Handbook
Control Flames|Transmutation|Druid, Sorcerer, Wizard|Cantrip|1 action|60 feet|S|Instantaneous or 1 hour (see description)|You choose nonmagical flame that you can see within range and that fits within a 5-foot cube. You affect it in one of the following ways: ~ - You instantaneously expand the flame 5 feet in one direction, provided that wood or other fuel is present in the new location. ~ - You instantaneously extinguish the flames within the cube. ~ - You double or halve the area of bright light and dim light cast by the flame, change its color, or both. The change lasts for 1 hour. ~ - You cause simple shapes—such as the vague form of a creature, an inanimate object, or a location—to appear within the flames and animate as you like. The shapes last for 1 hour. ~ If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.|N/A|Elemental Evil
Druidcraft|Transmutation|Druid|Cantrip|1 action|30 feet|V, S|Instantaneous|Whispering to the spirits of nature, you create one of the following effects within range: ~ - You create a tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for 1 round. ~ - You instantly make a flower blossom, a seed pod open, or a leaf bud bloom. ~ - You create an instantaneous, harmless sensory effect, such as falling leaves, a puff of wind, the sound of a small animal, or the faint odor of skunk. The effect must fit in a 5-foot cube. ~ - You instantly light or snuff out a candle, a torch, or a small campfire.|N/A|Player's Handbook
Gust|Transmutation|Druid, Sorcerer, Wizard|Cantrip|1 action|30 feet|V, S|Instantaneous|You seize the air and compel it to create one of the following effects at a point you can see within range: ~ - One Medium or smaller creature that you choose must succeed on a Strength saving throw or be pushed up to 5 feet away from you. ~ - You create a small blast of air capable of moving one object that is neither held nor carried and that weighs no more than 5 pounds. The object is pushed up to 10 feet away from you. It isn't pushed with enough force to cause damage. ~ - You create a harmless sensory affect using air, such as causing leaves to rustle, wind to slam shutters shut, or your clothing to ripple in a breeze.|N/A|Elemental Evil
Magic Stone|Transmutation|Druid, Warlock|Cantrip|1 bonus action|Touch|V, S|1 minute|You touch one to three pebbles and imbue them with magic. You or someone else can make a ranged spell ttack with one of the pebbles by throwing it or hurling it with a sling. If thrown, it has a range of 60 feet. If someone else attacks with the pebble, that attacker adds your spellcasting ability modifier, not the attacker's, to the attack roll. On a hit, the target takes bludgeoning damage equal to 1d6 + your spellcasting ability modifier. Hit or miss, the spell then ends on the stone. ~ If you cast this spell again, the spell ends  early on any pebbles still affected by it.|N/A|Elemental Evil
Meding|Transmutation|Bard, Cleric, Sorcerer, Wizard|Cantrip|1 minute|Touch|V, S, M (two lodestones)|Instantaneous|This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it. leaving no trace of the former damage. ~ This spell can physically repair a magic item or construct, but the spell can't restore magic to such an object.|N/A|Player's Handbook
Message|Transmutation|Bard, Wizard|Cantrip|1 action|120 feet|V, S, M (a short piece of copper wire)|1 round|You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear. ~ You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood blocks the spell. The spell doesn't have to follow a straight line and can travel freely around corners or through openings.|N/A|Player's Handbook
Mold Earth|Transmutation|Druid, Sorcerer, Wizard|Cantrip|1 action|30 feet|S|Instantaneous or 1 hour (see description)|You choose a portion of dirt or stone that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways: ~ - If you target an area of loose earth, you can instantaneously excavate it, move it along the ground, and deposit it up to 5 feet away. This movement doesn't have enough force to cause damage. ~ - You cause shapes, colors, or both to appear on the dirt or stone, spelling out words, creating images, or shaping patterns. The changes last for 1 hour. ~ - If the dirt or stone you target is on the ground, you cause it to become difficult terrain. Alternatively, you can cause the ground to become normal terrain if it is already difficult terrain. This change lasts for 1 hour. ~ If you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.|N/A|Elemental Evil
On/Off|Transmutation|Sorcerer, Wizard|Cantrip|1 action|60 feet|V, S|Instantaneous|This cantrip allows you to activate or deactivate any electronic device within range, as long as the device has a clearly defined on or off function that can easily be access from the outside of the device. Any device that requires a software-based shutdown sequence to activate or deactivate cannot be affected by on/off.|N/A|Unearthed Arcana
Prestidigitation|Transmutation|Bard, Sorcerer, Warlock, Wizard|Cantrip|1 action|10 feet|V, S|Up to 1 hour|This spell is a minor m agical trick that novice spellcasters use for practice. You create one of the following magical effects within range: ~ - You create an instantaneous, harmless sensory effect, such as a shower of sparks, a puff of wind, faint musical notes, or an odd odor. ~ - You instantaneously light or snuff out a candle, a torch, or a small campfire. ~ - You instantaneously clean or soil an object no larger than 1 cubic foot. ~ - You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour. ~ - You make a color, a small mark, or a symbol appear on an object or a surface for 1 hour. ~ - You create a nonmagical trinket or an illusory image that can fit in your hand and that lasts until the end of your next turn. ~ If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.|N/A|Player's Handbook
Shape Water|Transmutation|Druid, Sorcerer, Wizard|Cantrip|1 action|30 feet|V, S|Instantaneous or 1 hour (see description)|You choose an area of water that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways: ~ - You instantaneously move or otherwise change the flow of the water as you direct, up to 5 feet in any direction. This movement doesn't have enough force to cause damage. ~ - You cause the water to form into simple shapes and animate at your direction. This change lasts for 1 hour. ~ - You change the water's color or opacity. The water must be changed in the same way throughout. This change lasts for 1 hour. ~ - You freeze the water, provided that there are no creatures in it. The water unfreezes in 1 hour. ~ If you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.|N/A|Elemental Evil
Shillelagh|Transmutation|Druid|Cantrip|1 bonus action|Touch|V, S, M (mistletoe, a shamrock lear, and a club or quarterstaff|1 minute|The wood of a club or quarterstaff you are holding is imbued with nature's power. For the duration, you can use your spell casting ability instead of Strength for the attack and damage rolls of melee attacks using that weapon, and the weapon's damage die becomes a d8. The weapon also becomes magical, if it isn't already. The spell ends if you cast it again or if you let go of the weapon.|N/A|Player's Handbook
Thaumaturgy|Transmutation|Cleric|Cantrip|1 action|30 feet|V|Up to 1 minute|You manifest a minor wonder, a sign of supernatural power, within range. You create one of the following magical effects within range: ~ - Your voice booms up to three times as loud as normal for 1 minute. ~ - You cause flames to flicker, brighten, dim, or change color for 1 minute. ~ - You create an instantaneous sound that originates from a point of your choice within range, such as a rumble of thunder, the cry of a raven, or ominous whispers. ~ - You instantaneously cause an unlocked door or window to fly open or slam shut. ~ - You alter the appearance of your eyes for 1 minute. ~ If you cast this spell multiple times, you can have up to three of its 1-minute effects active at a time, and you can dismiss such an effect as an action.|N/A|Player's Handbook
Thron Whip|Transmutation|Druid|Cantrip|1 action|30 feet|V, S, M (the stem of a plant with thorns)|Instantaneous|You create a long, vine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. If the attack hits, the creature takes 1d6 piercing damage, and if the creature is Large or smaller, you pull the creature up to 10 feet closer to you.|This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).|Player's Handbook
